receipt_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
601485370a720f05f8000172,,,2021-01-29,2021-01-29,2021-01-29,2021-02-01,2021-01-29,209.8,2021-01-29,1.0,FINISHED,20.98,60147d2ac8b50e11d8453f53
60182f290a720f05f800032f,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,500.0,2021-03-01,1.0,FINISHED,1.0,60182f1dc8b50e11d84548c4
601868260a720f05f400000e,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,60186237c8b50e11d8454d5f
6017e6d70a7214ad5000027f,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601795fa0a7214ad5000025b,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601890c70a7214ad28000028,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-02-01,2021-02-01,,2021-02-01,,25.0,2021-01-31,1.0,FLAGGED,1.0,601890689a1b091205b61c87
60183c850a7214ad50000308,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,250.0,2021-02-01,3.0,FINISHED,27.0,60183c839a1b091205b61aca
601830ce0a7214ad500002df,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,750.0,2021-02-01,5.0,FINISHED,28.0,601830ce9a1b091205b618e8
60182f370a720f05f8000335,5.0,All-receipts receipt bonus,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,5.0,2021-01-31,2.0,FINISHED,1.0,60182f1dc8b50e11d84548c4
60179e2e0a7214ad50000260,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60175dba0a720f05f80002bf,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60182d8c0a720f05f8000318,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-01,2021-02-01,,2021-02-01,,250.0,2021-01-31,1.0,FLAGGED,1.0,60182d6dc8b50e11d84547b2
601747780a7214ad5000023b,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60182f390a7214ad500002b8,,,2021-02-01,2021-02-01,,2021-02-01,,,,0.0,REJECTED,0.0,60182f1dc8b50e11d84548c4
6018643e0a7214ad28000002,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601830d30a7214ad500002e1,5.0,All-receipts receipt bonus,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,5.0,2021-02-01,4.0,FINISHED,29.0,601830ce9a1b091205b618e8
6018369f0a7214ad500002f1,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-02-01,2021-02-01,,2021-02-01,,150.0,2021-01-31,1.0,FLAGGED,1.0,601836829a1b091205b6194d
601830a70a7214ad500002d3,,,2021-02-01,2021-02-01,,2021-02-01,,,2017-10-30,3.0,REJECTED,3.0,60183090c8b50e11d84549c0
6018682c0a720f05f4000011,,,2021-02-01,2021-02-01,,2021-02-01,,,,,SUBMITTED,,60186237c8b50e11d8454d5f
