"name","past_1_month_rank_for_top5_brand","previous_month_rank_comparison"
"Swanson","2",NULL
"Prego","4",NULL
"Tostitos","1",NULL
"Diet Chris Cola","4",NULL
"Cracker Barrel Cheese","3",NULL
